25/04/20 16:46:57.344 [1995847840] INFO  parScreenLog - Application is shutting down...
25/04/20 16:55:05.090 [1995401376] INFO  parScreenLog - Loading settings...
25/04/20 16:55:05.091 [1995401376] INFO  parScreenLog - Loading settings complete
25/04/20 16:55:05.092 [1995401376] DEBUG parScreenLog - Listening on 48545
25/04/20 16:55:05.092 [1995401376] DEBUG parScreenLog - rgb = RGB
25/04/20 16:55:05.094 [1995401376] DEBUG parScreenLog - led_matrix: size = 32x32. Hardware gpio mapping: regular
25/04/20 16:55:05.198 [1995401376] ERROR parScreenLog - Can't open pid file /var/run/par/par_screend.pid for reading
25/04/20 16:55:05.198 [1995401376] ERROR parScreenLog - Can't open pid file /var/run/par/par_screend.pid for writing. Reason: No such file or directory
25/04/20 16:55:05.198 [1995401376] INFO  parScreenLog - par_screen v0.2 started as app
25/04/20 16:55:05.199 [1995401376] INFO  parScreenLog - Showing default image
25/04/20 16:55:05.199 [1995401376] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:55:05.200 [1995401376] TRACE parScreenLog - Default image preparation time = 1502177
25/04/20 16:55:05.200 [1995401376] DEBUG parScreenLog - default image size = 32x32
25/04/20 16:55:05.210 [1995401376] DEBUG parScreenLog - Default image draw time = 9499257 32x32
25/04/20 16:55:51.537 [1995401376] DEBUG parScreenLog - File with such name exists, but hash differs
25/04/20 16:55:51.556 [1995401376] DEBUG parScreenLog - File with such name exists, but hash differs
25/04/20 16:55:51.573 [1995401376] DEBUG parScreenLog - File with such name exists, but hash differs
25/04/20 16:56:06.188 [1995401376] TRACE parScreenLog - New file chunk [0, 65200]
25/04/20 16:56:06.221 [1995401376] TRACE parScreenLog - New file chunk [65200, 130400]
25/04/20 16:56:06.237 [1995401376] TRACE parScreenLog - New file chunk [130400, 195600]
25/04/20 16:56:06.261 [1995401376] TRACE parScreenLog - New file chunk [195600, 260800]
25/04/20 16:56:06.294 [1995401376] TRACE parScreenLog - New file chunk [260800, 326000]
25/04/20 16:56:06.314 [1995401376] TRACE parScreenLog - New file chunk [326000, 391200]
25/04/20 16:56:06.343 [1995401376] TRACE parScreenLog - New file chunk [391200, 456400]
25/04/20 16:56:06.360 [1995401376] TRACE parScreenLog - New file chunk [456400, 521600]
25/04/20 16:56:06.379 [1995401376] TRACE parScreenLog - New file chunk [521600, 586800]
25/04/20 16:56:06.553 [1995401376] TRACE parScreenLog - New file chunk [586800, 652000]
25/04/20 16:56:06.624 [1995401376] TRACE parScreenLog - New file chunk [652000, 717200]
25/04/20 16:56:06.751 [1995401376] TRACE parScreenLog - New file chunk [717200, 782400]
25/04/20 16:56:07.164 [1995401376] TRACE parScreenLog - New file chunk [782400, 847600]
25/04/20 16:56:07.177 [1995401376] TRACE parScreenLog - New file chunk [847600, 912800]
25/04/20 16:56:07.198 [1995401376] TRACE parScreenLog - New file chunk [912800, 978000]
25/04/20 16:56:07.226 [1995401376] TRACE parScreenLog - New file chunk [978000, 1043200]
25/04/20 16:56:07.246 [1995401376] TRACE parScreenLog - New file chunk [1043200, 1108400]
25/04/20 16:56:07.265 [1995401376] TRACE parScreenLog - New file chunk [1108400, 1173600]
25/04/20 16:56:07.289 [1995401376] TRACE parScreenLog - New file chunk [1173600, 1238800]
25/04/20 16:56:07.321 [1995401376] TRACE parScreenLog - New file chunk [1238800, 1304000]
25/04/20 16:56:07.343 [1995401376] TRACE parScreenLog - New file chunk [1304000, 1369200]
25/04/20 16:56:07.368 [1995401376] TRACE parScreenLog - New file chunk [1369200, 1434400]
25/04/20 16:56:07.390 [1995401376] TRACE parScreenLog - New file chunk [1434400, 1499600]
25/04/20 16:56:07.704 [1995401376] TRACE parScreenLog - New file chunk [1499600, 1564800]
25/04/20 16:56:07.737 [1995401376] TRACE parScreenLog - New file chunk [1564800, 1630000]
25/04/20 16:56:09.238 [1995401376] TRACE parScreenLog - New file chunk [1630000, 1695200]
25/04/20 16:56:09.245 [1995401376] TRACE parScreenLog - New file chunk [1695200, 1760400]
25/04/20 16:56:09.282 [1995401376] TRACE parScreenLog - New file chunk [1760400, 1825600]
25/04/20 16:56:09.308 [1995401376] TRACE parScreenLog - New file chunk [1825600, 1890800]
25/04/20 16:56:09.328 [1995401376] TRACE parScreenLog - New file chunk [1890800, 1956000]
25/04/20 16:56:10.471 [1995401376] TRACE parScreenLog - New file chunk [1956000, 2021200]
25/04/20 16:56:10.713 [1995401376] TRACE parScreenLog - New file chunk [2021200, 2086400]
25/04/20 16:56:10.722 [1995401376] TRACE parScreenLog - New file chunk [2086400, 2111879]
25/04/20 16:56:11.727 [1995401376] INFO  parScreenLog - File uploading time: 8574ms speed: 246312B/s
25/04/20 16:56:22.568 [1995401376] DEBUG parScreenLog - File with such name and hash is already exists
25/04/20 16:56:26.826 [1995401376] INFO  parScreenLog - Starting playback of playlist from subdir default
25/04/20 16:56:26.840 [1995401376] INFO  parScreenLog - Queuing playback of next item: /home/pi/par/par_screen/resources/default/IM_2916_burned.png
25/04/20 16:56:26.840 [1995401376] ERROR parScreenLog - Unknown file type: /home/pi/par/par_screen/resources/default/IM_2916_burned.png
